APPL	165	126525
APPL	162	114674
MSFT	391	163375
BAML	48	1766
MSFT	409	105814
MSFT	394	116998
GOGL	454	149841
INFO	50	8660
MSFT	442	120159
BAML	42	1146
MSFT	351	160233
MSFT	417	107910
BAML	53	1964
BAML	53	1117
MSFT	354	146084
GOGL	438	112804
MSFT	375	141244
BAML	45	922
INFO	40	9139
INFO	44	9964
GOGL	447	146184
APPL	143	135857
GOGL	332	72827
MSFT	380	77279
APPL	168	72288
INFO	41	6327
MSFT	413	103819
BAML	43	1716
INFO	66	5518
INFO	61	5195
GOGL	459	100419
GOGL	377	145367
MSFT	348	146052
APPL	154	133157
INFO	48	7276
INFO	47	6712
MSFT	422	136728
BAML	47	1133
INFO	58	8635
APPL	159	142436
GOGL	341	81044
BAML	46	821
BAML	55	1009
MSFT	392	72816
MSFT	356	112457
MSFT	399	95195
MSFT	461	163554
GOGL	252	68114
BAML	36	1514
APPL	167	56682
GOGL	305	101061
APPL	142	63047
BAML	34	725
APPL	157	103971
GOGL	414	124466
MSFT	379	114102
APPL	152	83978
MSFT	415	94005
GOGL	299	89596
GOGL	373	71265
GOGL	250	73890
APPL	155	90510
INFO	65	8649
BAML	49	1520
BAML	34	1280
BAML	37	1150
APPL	160	141766
BAML	52	961
MSFT	379	155343
INFO	56	7171
APPL	163	85042
MSFT	365	178238
GOGL	361	107873
BAML	30	871
APPL	151	96666
GOGL	328	107798
APPL	159	100131
INFO	48	9444
GOGL	291	143314
MSFT	399	162040
BAML	31	828
MSFT	418	177902
INFO	66	7268
APPL	168	128165
GOGL	445	64855
INFO	68	5850
APPL	149	135253
INFO	55	9775
INFO	63	6840
INFO	51	9968
MSFT	453	183354
BAML	32	726
INFO	64	7007
BAML	58	1283
INFO	50	8081
BAML	38	801
INFO	57	6565
GOGL	360	111139
GOGL	292	111595
APPL	154	133553
MSFT	399	172104
INFO	46	8638
MSFT	418	88569
BAML	50	951
BAML	36	809
INFO	54	7299
MSFT	431	77502
APPL	148	97096
INFO	41	7570
APPL	153	77036
INFO	44	8405
MSFT	423	153917
GOGL	463	70448
APPL	156	140464
APPL	146	132994
MSFT	352	77739
GOGL	433	65493
APPL	141	133770
GOGL	432	75936
GOGL	457	110298
MSFT	433	130964
INFO	55	9160
GOGL	375	133422
APPL	157	92705
APPL	162	124442
APPL	142	125688
MSFT	394	188112
GOGL	384	63137
INFO	57	6222
BAML	45	752
GOGL	250	64436
INFO	52	8400
APPL	167	113727
INFO	49	8529
MSFT	391	185605
INFO	44	5911
BAML	55	1746
BAML	56	1817
MSFT	372	112242
MSFT	384	114271
MSFT	450	147613
MSFT	406	146767
APPL	164	52930
MSFT	454	132166
INFO	48	8668
INFO	41	5429
GOGL	417	147457
GOGL	304	118624
INFO	61	9460
BAML	47	1269
INFO	69	8330
INFO	42	5991
INFO	43	6367
APPL	169	127612
APPL	155	113435
INFO	66	5292
APPL	153	76741
GOGL	458	149481
BAML	37	1218
APPL	140	135550
APPL	169	87495
BAML	53	1051
GOGL	309	145270
BAML	37	1895
MSFT	430	90031
INFO	48	7095
INFO	56	9823
BAML	37	1999
MSFT	453	162603
GOGL	321	126072
GOGL	330	64750
GOGL	388	140027
MSFT	347	130330
APPL	161	145090
INFO	51	7859
INFO	65	6390
APPL	153	134956
INFO	51	6516
GOGL	306	73018
MSFT	423	135554
MSFT	383	117302
APPL	165	147523
MSFT	411	126255
MSFT	374	140283
APPL	152	122251
INFO	56	6591
BAML	33	1990
INFO	69	6106
MSFT	389	155431
INFO	54	7604
INFO	47	8384
MSFT	432	83908
MSFT	386	125169
BAML	38	1342
APPL	169	118551
APPL	146	56856
APPL	152	76386
MSFT	372	165531
GOGL	300	87161
BAML	33	818
BAML	30	847
GOGL	413	130945
BAML	33	1938
BAML	41	1383
APPL	150	83918
APPL	159	55968
INFO	63	5214
MSFT	363	92293
INFO	41	8034
APPL	164	145376
MSFT	441	91730
GOGL	302	88212
INFO	46	5595
MSFT	460	107548
GOGL	342	120582
BAML	41	1400
MSFT	468	189638
APPL	154	104890
INFO	48	6810
MSFT	467	72886
APPL	152	125719
MSFT	466	156053
BAML	59	776
GOGL	463	114637
APPL	161	139142
APPL	142	137714
MSFT	463	116185
MSFT	398	175927
INFO	54	5740
MSFT	453	148843
GOGL	359	135344
GOGL	312	77398
APPL	151	70339
GOGL	365	98538
GOGL	315	92648
APPL	161	119139
APPL	154	86852
INFO	55	8542
GOGL	368	133712
APPL	151	70000
MSFT	435	123305
APPL	168	69239
APPL	148	129481
GOGL	468	136325
INFO	54	5194
APPL	146	50975
APPL	163	128623
APPL	163	109996
MSFT	451	103709
BAML	30	1081
GOGL	447	94448
GOGL	458	118647
APPL	163	90596
GOGL	300	149471
BAML	51	869
BAML	36	1177
BAML	52	1687
APPL	152	127397
INFO	44	9373
BAML	59	1593
APPL	150	59254
GOGL	240	112857
BAML	36	1640
MSFT	451	120187
BAML	50	1082
INFO	65	6873
APPL	152	54365
APPL	150	125121
INFO	53	8975
MSFT	419	149443
GOGL	240	130294
INFO	51	5238
GOGL	361	139861
INFO	57	5897
APPL	160	72709
BAML	36	1620
INFO	42	5484
BAML	36	1788
INFO	62	6373
MSFT	370	143411
BAML	56	1756
MSFT	380	194448
MSFT	383	97875
BAML	55	1357
APPL	162	82643
APPL	156	52388
INFO	44	7557
MSFT	458	129482
